SMILES_BB,SMILES_0,SMILES_1,SMILES_2,SMILES_3,SMILES_4,SMILES_5,SMILES_6,SMILES_7,SMILES_8,SMILES_9
Cc1ccc(CC([Hg])=O)cc1,CC(C([Hg])=O)NC(Cc1ccc(C)cc1)=O,CCN(CCC([Hg])=O)C(Cc1ccc(C)cc1)=O,Cc1ccc(CC(NC2(COC2)C([Hg])=O)=O)cc1,Cc1ccc(CC(N(CCC2)C2C([Hg])=O)=O)cc1,Cc1ccc(CC(N(CC2)CCC2C([Hg])=O)=O)cc1,Cc1ccc(CC(N(CCN(C)C2)C2C([Hg])=O)=O)cc1,Cc1ccc(CC(N(CC([Hg])=O)c2ccc[o]2)=O)cc1,Cc1ccc(CC(Nc(cc2)ccc2C([Hg])=O)=O)cc1,Cc1ccc(CC(NC(Cc2ccccc2)C([Hg])=O)=O)cc1,Cc1ccc(CC(NCc2cccc(CC([Hg])=O)c2)=O)cc1
Cc1cccc(CC([Hg])=O)c1,CC(C([Hg])=O)NC(Cc1cc(C)ccc1)=O,CCN(CCC([Hg])=O)C(Cc1cc(C)ccc1)=O,Cc1cccc(CC(NC2(COC2)C([Hg])=O)=O)c1,Cc1cccc(CC(N(CCC2)C2C([Hg])=O)=O)c1,Cc1cccc(CC(N(CC2)CCC2C([Hg])=O)=O)c1,Cc1cccc(CC(N(CCN(C)C2)C2C([Hg])=O)=O)c1,Cc1cccc(CC(N(CC([Hg])=O)c2ccc[o]2)=O)c1,Cc1cccc(CC(Nc(cc2)ccc2C([Hg])=O)=O)c1,Cc1cccc(CC(NC(Cc2ccccc2)C([Hg])=O)=O)c1,Cc1cccc(CC(NCc2cccc(CC([Hg])=O)c2)=O)c1
O=C(CCc1ccccc1)[Hg],CC(C([Hg])=O)NC(CCc1ccccc1)=O,CCN(CCC([Hg])=O)C(CCc1ccccc1)=O,O=C(CCc1ccccc1)NC1(COC1)C([Hg])=O,O=C(CCc1ccccc1)N(CCC1)C1C([Hg])=O,O=C(CCc1ccccc1)N(CC1)CCC1C([Hg])=O,CN(CC1)CC(C([Hg])=O)N1C(CCc1ccccc1)=O,O=C(CCc1ccccc1)N(CC([Hg])=O)c1ccc[o]1,O=C(CCc1ccccc1)Nc(cc1)ccc1C([Hg])=O,O=C(CCc1ccccc1)NC(Cc1ccccc1)C([Hg])=O,O=C(CCc1ccccc1)NCc1cccc(CC([Hg])=O)c1
Cc(cc1)ccc1S(NCC([Hg])=O)(=O)=O,CC(C([Hg])=O)NC(CNS(c1ccc(C)cc1)(=O)=O)=O,CCN(CCC([Hg])=O)C(CNS(c1ccc(C)cc1)(=O)=O)=O,Cc(cc1)ccc1S(NCC(NC1(COC1)C([Hg])=O)=O)(=O)=O,Cc(cc1)ccc1S(NCC(N(CCC1)C1C([Hg])=O)=O)(=O)=O,Cc(cc1)ccc1S(NCC(N(CC1)CCC1C([Hg])=O)=O)(=O)=O,Cc(cc1)ccc1S(NCC(N(CCN(C)C1)C1C([Hg])=O)=O)(=O)=O,Cc(cc1)ccc1S(NCC(N(CC([Hg])=O)c1ccc[o]1)=O)(=O)=O,Cc(cc1)ccc1S(NCC(Nc(cc1)ccc1C([Hg])=O)=O)(=O)=O,Cc(cc1)ccc1S(NCC(NC(Cc1ccccc1)C([Hg])=O)=O)(=O)=O,Cc(cc1)ccc1S(NCC(NCc1cccc(CC([Hg])=O)c1)=O)(=O)=O
O=C(C/C=C/c1ccccc1)[Hg],CC(C([Hg])=O)NC(C/C=C/c1ccccc1)=O,CCN(CCC([Hg])=O)C(C/C=C/c1ccccc1)=O,O=C(C/C=C/c1ccccc1)NC1(COC1)C([Hg])=O,O=C(C/C=C/c1ccccc1)N(CCC1)C1C([Hg])=O,O=C(C/C=C/c1ccccc1)N(CC1)CCC1C([Hg])=O,CN(CC1)CC(C([Hg])=O)N1C(C/C=C/c1ccccc1)=O,O=C(C/C=C/c1ccccc1)N(CC([Hg])=O)c1ccc[o]1,O=C(C/C=C/c1ccccc1)Nc(cc1)ccc1C([Hg])=O,O=C(C/C=C/c1ccccc1)NC(Cc1ccccc1)C([Hg])=O,O=C(C/C=C/c1ccccc1)NCc1cccc(CC([Hg])=O)c1
O=C(CCOc1ccccc1)[Hg],CC(C([Hg])=O)NC(CCOc1ccccc1)=O,CCN(CCC([Hg])=O)C(CCOc1ccccc1)=O,O=C(CCOc1ccccc1)NC1(COC1)C([Hg])=O,O=C(CCOc1ccccc1)N(CCC1)C1C([Hg])=O,O=C(CCOc1ccccc1)N(CC1)CCC1C([Hg])=O,CN(CC1)CC(C([Hg])=O)N1C(CCOc1ccccc1)=O,O=C(CCOc1ccccc1)N(CC([Hg])=O)c1ccc[o]1,O=C(CCOc1ccccc1)Nc(cc1)ccc1C([Hg])=O,O=C(CCOc1ccccc1)NC(Cc1ccccc1)C([Hg])=O,O=C(CCOc1ccccc1)NCc1cccc(CC([Hg])=O)c1
CN(CC([Hg])=O)C(c1ccccc1)=O,CC(C([Hg])=O)NC(CN(C)C(c1ccccc1)=O)=O,CCN(CCC([Hg])=O)C(CN(C)C(c1ccccc1)=O)=O,CN(CC(NC1(COC1)C([Hg])=O)=O)C(c1ccccc1)=O,CN(CC(N(CCC1)C1C([Hg])=O)=O)C(c1ccccc1)=O,CN(CC(N(CC1)CCC1C([Hg])=O)=O)C(c1ccccc1)=O,CN(CC(N(CCN(C)C1)C1C([Hg])=O)=O)C(c1ccccc1)=O,CN(CC(N(CC([Hg])=O)c1ccc[o]1)=O)C(c1ccccc1)=O,CN(CC(Nc(cc1)ccc1C([Hg])=O)=O)C(c1ccccc1)=O,CN(CC(NC(Cc1ccccc1)C([Hg])=O)=O)C(c1ccccc1)=O,CN(CC(NCc1cccc(CC([Hg])=O)c1)=O)C(c1ccccc1)=O
Cc(cc1)ccc1SCC([Hg])=O,CC(C([Hg])=O)NC(CSc1ccc(C)cc1)=O,CCN(CCC([Hg])=O)C(CSc1ccc(C)cc1)=O,Cc(cc1)ccc1SCC(NC1(COC1)C([Hg])=O)=O,Cc(cc1)ccc1SCC(N(CCC1)C1C([Hg])=O)=O,Cc(cc1)ccc1SCC(N(CC1)CCC1C([Hg])=O)=O,Cc(cc1)ccc1SCC(N(CCN(C)C1)C1C([Hg])=O)=O,Cc(cc1)ccc1SCC(N(CC([Hg])=O)c1ccc[o]1)=O,Cc(cc1)ccc1SCC(Nc(cc1)ccc1C([Hg])=O)=O,Cc(cc1)ccc1SCC(NC(Cc1ccccc1)C([Hg])=O)=O,Cc(cc1)ccc1SCC(NCc1cccc(CC([Hg])=O)c1)=O
O[C@H](CC([Hg])=O)c1ccccc1,CC(C([Hg])=O)NC(C[C@H](c1ccccc1)O)=O,CCN(CCC([Hg])=O)C(C[C@H](c1ccccc1)O)=O,O[C@H](CC(NC1(COC1)C([Hg])=O)=O)c1ccccc1,O[C@H](CC(N(CCC1)C1C([Hg])=O)=O)c1ccccc1,O[C@H](CC(N(CC1)CCC1C([Hg])=O)=O)c1ccccc1,CN(CC1)CC(C([Hg])=O)N1C(C[C@H](c1ccccc1)O)=O,O[C@H](CC(N(CC([Hg])=O)c1ccc[o]1)=O)c1ccccc1,O[C@H](CC(Nc(cc1)ccc1C([Hg])=O)=O)c1ccccc1,O[C@H](CC(NC(Cc1ccccc1)C([Hg])=O)=O)c1ccccc1,O[C@H](CC(NCc1cccc(CC([Hg])=O)c1)=O)c1ccccc1
CN(C)c1ccc(CC([Hg])=O)cc1,CC(C([Hg])=O)NC(Cc(cc1)ccc1N(C)C)=O,CCN(CCC([Hg])=O)C(Cc(cc1)ccc1N(C)C)=O,CN(C)c1ccc(CC(NC2(COC2)C([Hg])=O)=O)cc1,CN(C)c1ccc(CC(N(CCC2)C2C([Hg])=O)=O)cc1,CN(C)c1ccc(CC(N(CC2)CCC2C([Hg])=O)=O)cc1,CN(C)c1ccc(CC(N(CCN(C)C2)C2C([Hg])=O)=O)cc1,CN(C)c1ccc(CC(N(CC([Hg])=O)c2ccc[o]2)=O)cc1,CN(C)c1ccc(CC(Nc(cc2)ccc2C([Hg])=O)=O)cc1,CN(C)c1ccc(CC(NC(Cc2ccccc2)C([Hg])=O)=O)cc1,CN(C)c1ccc(CC(NCc2cccc(CC([Hg])=O)c2)=O)cc1
