ID,ECFP_L1,ECFP_L2,COAF_L1,COAF_L2
16353,CN(C)C(NCCCC(C(O)=O)NC(Cc1cc(OC)ccc1)=O)=O,CN(C)C(NCCCCNC(Cc1cc(OC)ccc1)=O)=O,CN(C)C(NCCCC(C([Hg])=O)NC(Cc1cc(OC)ccc1)=O)=O,CN(C)C(NCCCCN(C(Cc1cc(OC)ccc1)=O)[Hg])=O
16354,CCOc1c(CC(NC(CCCNC(N(C)C)=O)C(O)=O)=O)cccc1,CCOc1c(CC(NCCCCNC(N(C)C)=O)=O)cccc1,CCOc1c(CC(NC(CCCNC(N(C)C)=O)C([Hg])=O)=O)cccc1,CCOc1c(CC(N(CCCCNC(N(C)C)=O)[Hg])=O)cccc1
16355,CN(C)C(NCCCC(C(O)=O)NC(COc(cccc1)c1[N+]([O-])=O)=O)=O,CN(C)C(NCCCCNC(COc(cccc1)c1[N+]([O-])=O)=O)=O,CN(C)C(NCCCC(C([Hg])=O)NC(COc(cccc1)c1[N+]([O-])=O)=O)=O,CN(C)C(NCCCCN(C(COc(cccc1)c1[N+]([O-])=O)=O)[Hg])=O
16356,CN(C)C(NCCCC(C(O)=O)NC(Cc1c[nH]c2c1cccc2)=O)=O,CN(C)C(NCCCCNC(Cc1c[nH]c2c1cccc2)=O)=O,CN(C)C(NCCCC(C([Hg])=O)NC(Cc1c[nH]c2c1cccc2)=O)=O,CN(C)C(NCCCCN(C(Cc1c[nH]c2c1cccc2)=O)[Hg])=O
16357,Cc1c(CC(NC(CCCNC(N(C)C)=O)C(O)=O)=O)c(cccc2)c2[nH]1,Cc1c(CC(NCCCCNC(N(C)C)=O)=O)c(cccc2)c2[nH]1,Cc1c(CC(NC(CCCNC(N(C)C)=O)C([Hg])=O)=O)c(cccc2)c2[nH]1,Cc1c(CC(N(CCCCNC(N(C)C)=O)[Hg])=O)c(cccc2)c2[nH]1
16358,CN(C)C(NCCCC(C(O)=O)NC(Cc1c[n](C)c2c1cccc2)=O)=O,CN(C)C(NCCCCNC(Cc1c[n](C)c2c1cccc2)=O)=O,CN(C)C(NCCCC(C([Hg])=O)NC(Cc1c[n](C)c2c1cccc2)=O)=O,CN(C)C(NCCCCN(C(Cc1c[n](C)c2c1cccc2)=O)[Hg])=O
16359,CN(C)C(NCCCC(C(O)=O)NC(COc1cc(OC)c(CO)cc1)=O)=O,CN(C)C(NCCCCNC(COc1cc(OC)c(CO)cc1)=O)=O,CN(C)C(NCCCC(C([Hg])=O)NC(COc1cc(OC)c(CO)cc1)=O)=O,CN(C)C(NCCCCN(C(COc1cc(OC)c(CO)cc1)=O)[Hg])=O
16360,CN(C)C(NCCCC(C(O)=O)NC(Cc(cc1)cc(OC)c1OC)=O)=O,CN(C)C(NCCCCNC(Cc(cc1)cc(OC)c1OC)=O)=O,CN(C)C(NCCCC(C([Hg])=O)NC(Cc(cc1)cc(OC)c1OC)=O)=O,CN(C)C(NCCCCN(C(Cc(cc1)cc(OC)c1OC)=O)[Hg])=O
16361,CN(C)C(NCCCC(C(O)=O)NC(Cc(cc1OC)cc(OC)c1OC)=O)=O,CN(C)C(NCCCCNC(Cc(cc1OC)cc(OC)c1OC)=O)=O,CN(C)C(NCCCC(C([Hg])=O)NC(Cc(cc1OC)cc(OC)c1OC)=O)=O,CN(C)C(NCCCCN(C(Cc(cc1OC)cc(OC)c1OC)=O)[Hg])=O
16362,CCOc1ccc(CCC(NC(CCCNC(N(C)C)=O)C(O)=O)=O)cc1,CCOc1ccc(CCC(NCCCCNC(N(C)C)=O)=O)cc1,CCOc1ccc(CCC(NC(CCCNC(N(C)C)=O)C([Hg])=O)=O)cc1,CCOc1ccc(CCC(N(CCCCNC(N(C)C)=O)[Hg])=O)cc1
16363,CN(C)C(NCCCC(C(O)=O)NC(CCc(cc1)cc2c1OCO2)=O)=O,CN(C)C(NCCCCNC(CCc(cc1)cc2c1OCO2)=O)=O,CN(C)C(NCCCC(C([Hg])=O)NC(CCc(cc1)cc2c1OCO2)=O)=O,CN(C)C(NCCCCN(C(CCc(cc1)cc2c1OCO2)=O)[Hg])=O
16364,CN(C)C(NCCCC(C(O)=O)NC(Cc1cc(OC)cc(OC)c1)=O)=O,CN(C)C(NCCCCNC(Cc1cc(OC)cc(OC)c1)=O)=O,CN(C)C(NCCCC(C([Hg])=O)NC(Cc1cc(OC)cc(OC)c1)=O)=O,CN(C)C(NCCCCN(C(Cc1cc(OC)cc(OC)c1)=O)[Hg])=O
