"Position","SMILES_Structure","SMILES_Scaffold"
"3","Cc1c(c(C([Hg])=O)c[nH]2)c2ccc1","Cc1cccc2c1cc[nH]2"
"7","Cc1c(C([Hg])=O)c([nH]cc2)c2cc1","Cc1cc([nH]cc2)c2cc1"
"2","Cc1cc([nH]c(C([Hg])=O)c2)c2cc1","Cc1cc([nH]cc2)c2cc1"
"2","Cc1cccc2c1cc(C([Hg])=O)[nH]2","Cc1cccc2c1cc[nH]2"
"2","Cc(cc1)cc2c1[nH]c(C([Hg])=O)c2","Cc(cc1)cc2c1[nH]cc2"
"2","Cc1cccc2c1[nH]c(C([Hg])=O)c2","Cc1c2[nH]ccc2ccc1"
"2","C[n](c(C([Hg])=O)c1)c2c1cccc2","C[n](cc1)c2c1cccc2"
"6","Cc1c(cc[nH]2)c2cc(C([Hg])=O)c1","Cc1cccc2c1cc[nH]2"
"5","C[n](cc1)c(cc2)c1cc2C([Hg])=O","C[n](cc1)c2c1cccc2"
"6","Cc(cc(cc[nH]1)c1c1)c1C([Hg])=O","Cc(cc1)cc2c1[nH]cc2"
"7","Cc1cc(C([Hg])=O)c2[nH]ccc2c1","Cc(cc1)cc2c1[nH]cc2"
"7","Cc(cc1)c(cc[nH]2)c2c1C([Hg])=O","Cc1cccc2c1cc[nH]2"
"4","Cc1cc(C([Hg])=O)c(cc[nH]2)c2c1","Cc1cc([nH]cc2)c2cc1"
"4","C[n]1c2cccc(C([Hg])=O)c2cc1","C[n](cc1)c2c1cccc2"
"6","Cc(c([nH]cc1)c1cc1)c1C([Hg])=O","Cc1c2[nH]ccc2ccc1"
"4","Cc(cc1)c2[nH]ccc2c1C([Hg])=O","Cc1c2[nH]ccc2ccc1"
"5","Cc1c2[nH]ccc2cc(C([Hg])=O)c1","Cc1c2[nH]ccc2ccc1"
"5","Cc(cc1[nH]ccc1c1)c1C([Hg])=O","Cc1cc([nH]cc2)c2cc1"
"4","Cc(cc1)c(C([Hg])=O)c2c1[nH]cc2","Cc(cc1)cc2c1[nH]cc2"
"5","Cc(c1c(cc2)[nH]cc1)c2C([Hg])=O","Cc1cccc2c1cc[nH]2"
"6","NC(c1cc(ccc(C([Hg])=O)c2)c2[nH]1)=O","NC(c1cc(cccc2)c2[nH]1)=O"
"6","NC(c1c[nH]c2c1ccc(C([Hg])=O)c2)=O","NC(c1c[nH]c2c1cccc2)=O"
"3","NC(c(cc1)cc2c1[nH]cc2C([Hg])=O)=O","NC(c(cc1)cc2c1[nH]cc2)=O"
"3","NC(c1cccc2c1[nH]cc2C([Hg])=O)=O","NC(c1c2[nH]ccc2ccc1)=O"
"3","NC(c(cc1)cc2c1c(C([Hg])=O)c[nH]2)=O","NC(c1cc([nH]cc2)c2cc1)=O"
"3","NC(c1c(c(C([Hg])=O)c[nH]2)c2ccc1)=O","NC(c1c(cc[nH]2)c2ccc1)=O"
"7","NC(c1c(C([Hg])=O)c([nH]cc2)c2cc1)=O","NC(c1cc([nH]cc2)c2cc1)=O"
"2","NC(c1c(C([Hg])=O)[nH]c2c1cccc2)=O","NC(c1c[nH]c2c1cccc2)=O"
"2","NC(c1cc([nH]c(C([Hg])=O)c2)c2cc1)=O","NC(c1cc([nH]cc2)c2cc1)=O"
"2","NC(c1cccc2c1cc(C([Hg])=O)[nH]2)=O","NC(c1c(cc[nH]2)c2ccc1)=O"
"2","NC(c(cc1)cc2c1[nH]c(C([Hg])=O)c2)=O","NC(c(cc1)cc2c1[nH]cc2)=O"
"2","NC(c1cccc2c1[nH]c(C([Hg])=O)c2)=O","NC(c1c2[nH]ccc2ccc1)=O"
"5","NC(c(c1c(cc2)[nH]cc1)c2C([Hg])=O)=O","NC(c1c(cc[nH]2)c2ccc1)=O"
"6","NC(c(cc(cc[nH]1)c1c1)c1C([Hg])=O)=O","NC(c(cc1)cc2c1[nH]cc2)=O"
"5","NC(c1c[nH]c(cc2)c1cc2C([Hg])=O)=O","NC(c1c[nH]c2c1cccc2)=O"
"5","NC(c1cc(cc(cc2)C([Hg])=O)c2[nH]1)=O","NC(c1cc(cccc2)c2[nH]1)=O"
"6","NC(c1c(cc[nH]2)c2cc(C([Hg])=O)c1)=O","NC(c1c(cc[nH]2)c2ccc1)=O"
"5","NC(c(cc1[nH]ccc1c1)c1C([Hg])=O)=O","NC(c1cc([nH]cc2)c2cc1)=O"
"7","NC(c(cc1)c(cc[nH]2)c2c1C([Hg])=O)=O","NC(c1c(cc[nH]2)c2ccc1)=O"
"7","NC(c(c1ccc2)c[nH]c1c2C([Hg])=O)=O","NC(c1c[nH]c2c1cccc2)=O"
"7","NC(c1cc(C([Hg])=O)c2[nH]ccc2c1)=O","NC(c(cc1)cc2c1[nH]cc2)=O"
"7","NC(c1cc2cccc(C([Hg])=O)c2[nH]1)=O","NC(c1cc(cccc2)c2[nH]1)=O"
